architecture,concentration_nM,k_mean,fold_repression,prob_U,prob_S,prob_W,prob_D
native_asymmetric,0.2612675225563328,0.13711821874930133,1.0939465329129672,0.8970428840974796,0.0976534049812232,0.004783023917447661,0.0005206870038496796
native_asymmetric,0.2800503894183631,0.136288601428409,1.1006056150542673,0.8904165405626079,0.10390062455379588,0.0050890101822267325,0.0005938247013694202
native_asymmetric,0.3001835813575589,0.1354121140621649,1.1077295487103767,0.8834164726381901,0.11049463357783079,0.005411982052791705,0.0006769117311874344
native_asymmetric,0.32176417502507354,0.1344869634264839,1.1153497422967407,0.8760284810281064,0.11744774229019901,0.005752542479519942,0.0007712342021747603
native_asymmetric,0.3448962260405758,0.13351139889989258,1.1234995755865806,0.8682387238533086,0.1247717746497047,0.006111270595087569,0.0008782309018993491
native_asymmetric,0.36969127071950264,0.1324837297072118,1.1322145015957734,0.860033856245334,0.1324779204904716,0.0064887144730026835,0.0009995087911918272
native_asymmetric,0.3962688638701478,0.13140234371516907,1.1415321504854103,0.8514011824691814,0.14057657469781787,0.006885383250505356,0.0011368595824951225
native_asymmetric,0.42475715525368984,0.13026572771511874,1.1514924349713733,0.8423288200557383,0.14907716391461392,0.007301738640715771,0.0012922773889318224
native_asymmetric,0.4552935074866948,0.12907248908512386,1.162137656623902,0.8328058750786208,0.1579879616333629,0.0077381858759198036,0.0014679774120964647
native_asymmetric,0.48802515836544313,0.12782137867549645,1.173512612321363,0.8228226273228219,0.167315892919121,0.008195064142977345,0.0016664156150797804
native_asymmetric,0.5231099308056261,0.12651131470911497,1.1856646999906064,0.8123707236678906,0.17706633043601114,0.008672636592784208,0.0018903093033140323
native_asymmetric,0.5607169938205459,0.12514140743137356,1.198644022621039,0.8014433775539654,0.18724288390810218,0.009171080028151934,0.0021426585097804127
native_asymmetric,0.6010276782070382,0.12371098418580989,1.212503489380578,0.7900355719256648,0.1978471856231046,0.009690474397866342,0.0024267680533643014
native_asymmetric,0.644236350872137,0.1222196145320198,1.2272989124892235,0.7781442625703567,0.20887867507100713,0.010230792248375847,0.002746270110260245
native_asymmetric,0.6905513520162327,0.12066713496456019,1.2430890983203906,0.76576857830104,0.22033438628222146,0.010791888307700627,0.003105147109037843
native_asymmetric,0.7401959996915641,0.11905367273766052,1.2599359310025735,0.7529100140000254,0.23220874187105817,0.011373489397766104,0.0035077547311503673
native_asymmetric,0.7934096665797492,0.11737966825357585,1.2779044465857092,0.7395726121608668,0.24449335817752776,0.011975184890327877,0.003958844771277437
native_asymmetric,0.8504489341802677,0.1156458954353737,1.2970628956202288,0.7257631282670336,0.25717686620918173,0.01259641793677623,0.004463587587008556
native_asymmetric,0.9115888299750818,0.11385347948103978,1.3174827917751935,0.7114911751523219,0.2702447532894589,0.013236477712136744,0.00502759384608248
native_asymmetric,0.9771241535346497,0.11200391138810332,1.339238943899351,0.696769341424708,0.2836792303952144,0.01389449291731661,0.005656935262760902
native_asymmetric,1.0473708979594498,0.11009905864936267,1.3624094687104602,0.6816132791251602,0.29745913009100206,0.014569426779967429,0.006358164003870378
native_asymmetric,1.1226677735108135,0.10814117155306066,1.3870757810904688,0.6660417560544432,0.31155983972286444,0.015260073782344362,0.0071383304403480185
native_asymmetric,1.2033778407775892,0.10613288457663803,1.4133225587747569,0.6500766686472461,0.3259532741069215,0.015965058323604293,0.008004998922227982
native_asymmetric,1.289890261253308,0.10407721244263131,1.441237678062159,0.6337430119092068,0.340607891332928,0.016682835493857677,0.00896626126400751
native_asymmetric,1.382622173764655,0.10197754050791318,1.470912117049542,0.6170688037548409,0.35548875450411355,0.017411694098160645,0.010030747642884995
native_asymmetric,1.4820207057988586,0.09983760928152927,1.5024398228228724,0.6000849620787788,0.370557641266364,0.01814976202120964,0.01120763463364765
native_asymmetric,1.5885651294280527,0.0976614930087789,1.5359175390295983,0.5828251340342365,0.3857732018670924,0.018895013969000417,0.012506650129670838
native_asymmetric,1.7027691722258995,0.09545357241548269,1.5714445903301761,0.5653254782456171,0.4010911652627093,0.019645281563887777,0.013938074927785789
native_asymmetric,1.8251834943190424,0.09321850187099942,1.6091226203954418,0.5476244020017296,0.4164645915082882,0.020398265706528373,0.015512740783454
native_asymmetric,1.9563983435170629,0.09096117139492135,1.6490552803981915,0.5297622568094448,0.43184416736660836,0.02115155105469099,0.01724202476925582
native_asymmetric,2.0970464013232326,0.08868666409334319,1.6913478653580225,0.5117809969772071,0.44717854082361314,0.021902622407687145,0.019137839791492466
native_asymmetric,2.247805833548725,0.08640020975876819,1.7361068962541202,0.4937238070843055,0.46241468905249444,0.022648882729101736,0.0212126211340982
native_asymmetric,2.4094035602395243,0.08410713549599297,1.7834396465344642,0.475634705218118,0.4774983133858371,0.023387672492367506,0.02347930890367751
native_asymmetric,2.5826187606826747,0.08181281433828637,1.8334536125327217,0.4575581296762556,0.4923742540853229,0.024116289996015783,0.02595132624240591
native_asymmetric,2.7682866303920637,0.0795226128886383,1.886255928361618,0.43953851739179745,0.5069869171825263,0.024832012270164527,0.028642553155511653
native_asymmetric,2.9673024081888695,0.07724183905613762,1.9419527270833543,0.4216198826183042,0.5212807054306673,0.025532116184359174,0.03156729576666946
