individual,Kd_strong,Kd_weak,block_strong,block_weak,Kd_ratio,fitness,mean_protein,cv,persister_fraction
30,0.2683760439126058,536.147563401983,0.05,0.06258605084906746,1997.7474724851918,3.98574,1992.87,0.05897136057537028,0.0
31,0.46063440199854544,964.0011801467209,0.12679325216967513,0.05,2092.7685295849114,3.7047600000000003,1852.38,0.05972008622129888,0.0
32,0.5214520969635966,436.55337846930786,0.07834739875673105,0.09788754980906716,837.1878855437498,3.72505,1862.525,0.06259274339730263,0.0
33,0.32375979327247634,957.5673791734081,0.08218317212381157,0.05,2957.6476111952516,3.8826300000000002,1941.315,0.053335873781224424,0.0
34,0.5561374292475679,267.2068451130779,0.05271530962910787,0.09250617905837054,480.4690910205384,3.83383,1916.915,0.06790433299428163,0.0
35,0.3046296017071225,844.0334368862999,0.05,0.05,2770.687523984527,4.03437,2017.185,0.06283791193128768,0.0
36,0.7256594835208738,1000.0,0.0986027331280816,0.05,1378.0568196367196,3.8194299999999997,1909.715,0.057760850037970754,0.0
37,0.8294141956827862,627.0160203269813,0.05,0.0737675768413636,755.9745463613779,3.90645,1953.225,0.05859064738889556,0.0
38,0.2647720875303964,689.3895735492005,0.08655316554405999,0.05,2603.709401467997,3.86604,1933.02,0.06296895410939966,0.0
39,0.5146247377044934,833.1675780852966,0.05,0.05394257109012889,1618.9808165881761,3.9963800000000003,1998.19,0.05838226752777346,0.0
40,0.3046296017071225,749.7215517538913,0.05,0.05,2461.0922495795066,4.01158,2005.79,0.06241249441089599,0.0
41,0.4939853064970122,509.98960804965657,0.05,0.12683496153795457,1032.398335217975,3.74044,1870.22,0.06486167015494446,0.0
42,0.252273855822919,987.7239559165594,0.056197838533021974,0.05,3915.284652444849,3.99628,1998.14,0.062498830258603505,0.0
43,0.46063440199854544,737.6982968734064,0.09178503677706192,0.05,1601.4832884230298,3.84751,1923.755,0.06061914730208195,0.0
44,0.3995453946065668,646.3384997329599,0.05,0.05,1617.6847698855615,4.02122,2010.61,0.06768121028605613,0.0
45,0.8403051675918048,792.9595460325745,0.05,0.11152247298858269,943.6566340596046,3.84605,1923.025,0.060883057720513806,0.0
46,0.3995453946065668,1000.0,0.05,0.05,2502.84451654036,4.00538,2002.69,0.061558742828093954,0.0
47,0.165717949220692,704.1688091082364,0.05,0.05,4249.200599088224,3.99863,1999.315,0.06703403184591367,0.0
48,0.42252365643153783,817.5623457959298,0.05,0.0831045670929467,1934.9504657342202,3.89148,1945.74,0.05961190422574207,0.0
49,0.5486553118634971,401.5699524135855,0.05,0.07034559212427813,731.9166400661663,3.90904,1954.52,0.05953752872484445,0.0
