generation,mean_fitness,best_fitness,mean_Kd_ratio,std_Kd_ratio,best_Kd_ratio,mean_cv,best_cv,mean_persister,diversity
32,2.736671,2.8301909999999997,1686.4936090373762,1467.1089494578976,414.7744635636022,0.06248347476380091,0.059230708065326355,0.0,0.8845376706228957
33,2.7355553400000003,2.832564,2357.100518261615,2266.801169286678,2670.490920746781,0.06282253436628578,0.0626287207614634,0.0,0.959967696375921
34,2.7202679,2.82926,2338.144417393724,2102.278122704408,4491.883995075527,0.06264079402663128,0.06951870320853111,0.0,1.1280292582413998
35,2.700409459999999,2.8443449999999997,3068.9919348002268,2773.099017838894,10000.0,0.06466909961765005,0.060459168590393596,0.0,1.0816603614238693
36,2.7306073200000003,2.8353990000000002,3655.826916665331,2867.807937991493,4772.61335247674,0.06335644385763152,0.06329578471812798,0.0,0.9139100151941403
37,2.70504052,2.839053,4137.329806330026,2720.6823841642786,8552.506250001896,0.06258670524080212,0.06423539751099458,0.0,0.8025036021910849
38,2.7180067600000006,2.835896,4455.440836814371,2491.97957590447,2718.9397844566315,0.06362791128083523,0.06080312886041916,0.0,0.6763921305971928
39,2.69994214,2.8230299999999997,4140.254986176883,2081.155213038767,2470.2140694920045,0.06242368925965246,0.05856294876615261,0.0,0.5357256291425666
40,2.6806224199999997,2.824241,3521.2858647518196,2081.471390498722,8552.506250001896,0.06272987459964324,0.05987755195032317,0.0,0.6218870590788182
41,2.6817417199999998,2.841923,3575.4643137786184,2438.8270031897705,1376.3652313089176,0.06359881765980863,0.06115102815179278,0.0,0.775152210184744
42,2.7065005799999993,2.8183539999999994,3156.293824167032,2467.627648668374,1821.6544944263364,0.06301596287944401,0.05792209987328832,0.0,0.8223036857812844
43,2.73412608,2.837716,3078.7424781338113,2374.3045670442993,5478.333274457875,0.06301654116678426,0.05441281508207048,0.0,0.7945354464947809
44,2.7354986400000003,2.831871,3577.1303008697496,2419.2331065381823,5935.724726946759,0.06298107677697429,0.05834392665506181,0.0,0.8205134242752467
45,2.7291853399999995,2.83136,3730.683780483878,2284.7207225930483,1653.0068633245767,0.0629597103035148,0.06492713769582797,0.0,0.7347282761879782
46,2.73829542,2.831514,4023.001961455316,2662.723815236061,3797.9642224087484,0.06256314682163579,0.06259744579865273,0.0,0.7133144978570443
47,2.72293742,2.8293299999999997,4351.555473815736,2681.919634496841,2880.940376031021,0.0624129286450528,0.06307884086299191,0.0,0.695629730792999
48,2.740848599999999,2.833019,4435.1884845852,2715.8197514333497,1856.9605826637012,0.06402313239098704,0.06396398245735435,0.0,0.6941385127771594
49,2.74501346,2.839592,3798.4616690587764,2231.2814292421103,6840.522907160699,0.06289446129318539,0.06047194291557852,0.0,0.6378001533396869
50,2.7308202599999998,2.840607,4028.8473561152864,2722.6588938402683,2336.65287294236,0.064686319340389,0.05830410369146642,0.0,0.7162957655332918
51,2.71902708,2.8274679999999996,3249.6235817862516,2498.6203517917234,1336.2902798027358,0.06389900550185726,0.06194032808366055,0.0,0.7251197796818667
52,2.7107661000000003,2.8315210000000004,4259.842010702819,3096.947290412394,2336.65287294236,0.06349857372065296,0.06440183389972144,0.0,0.8559042008649945
53,2.7483176000000005,2.8279789999999996,4853.337327090752,2950.007585032194,1965.9611526138362,0.06211746134184557,0.06186964533809486,0.0,0.7041636709722094
54,2.74815044,2.841748,5224.314764791612,3173.8940270560092,9212.71432780626,0.06269563975681963,0.0596479575212424,0.0,0.7812734798855314
55,2.70719302,2.8308979999999995,4360.158702694007,3418.945017724409,9212.71432780626,0.06360813401936863,0.05978470414832377,0.0,0.9248065004107029
56,2.7014183,2.829288,5432.677061689024,3405.0157928426206,8165.691723878215,0.06268403822097739,0.06017952294534306,0.0,0.9230879724184486
57,2.70457474,2.8344889999999996,4752.013053094073,3097.6117128506753,6193.829363320257,0.06297689631043067,0.060966209886084456,0.0,0.9067954168215803
58,2.7257794200000003,2.831444,5467.089770979055,2772.861952032167,3426.321876968775,0.06296066874325562,0.05887086642063783,0.0,0.653991488757296
59,2.7225472399999995,2.831927,5147.396884714577,2378.0424698664006,3426.321876968775,0.06372846593086949,0.058397176937186566,0.0,0.5107536780601017
60,2.7090989799999994,2.830282,5392.273527855221,2539.177197286654,2468.319195009726,0.0642499607274613,0.06163722245909978,0.0,0.5578258596101969
61,2.73272426,2.8556079999999997,4835.482690803762,2482.605683462583,3850.1630021638284,0.06291406880901017,0.06460160290259873,0.0,0.5978141423216161
62,2.73856898,2.8476559999999997,4670.009995800082,2164.4225446982764,6948.250588892631,0.06451077909539396,0.06678712170783296,0.0,0.5482735837345046
63,2.717341339999999,2.8288749999999996,3919.1955037745106,2052.778330776399,2272.340794761209,0.06339172356281136,0.06177536137921509,0.0,0.6147100599889385
64,2.7115865,2.8318990000000004,4273.395605459725,2331.0836930667033,3062.951055283347,0.06416244255770559,0.058530730313674846,0.0,0.6118923764199068
65,2.71009592,2.838332,3980.187020148775,2425.2264905392085,3509.22236875803,0.06302753809559801,0.062127270671724515,0.0,0.6300710316869289
66,2.703189439999999,2.83948,3498.9131438460226,2466.1614465761686,3190.139948516189,0.0644221429268893,0.06290241983378193,0.0,0.7676463338616211
67,2.7278075999999998,2.8335089999999994,3605.9737100876055,1789.2228717299674,3774.971608255939,0.0638235906717793,0.06541591963224601,0.0,0.5302490094418951
68,2.69738854,2.831213,3023.3303631474146,2249.260799595513,1438.3762522978238,0.0634226264701724,0.058578817180606306,0.0,0.7559172244247861
69,2.7303450999999996,2.838997,2841.160286636722,2345.0413243275757,853.8727043763388,0.06309788315907666,0.06273499479224225,0.0,0.8080645320731964
70,2.7227124399999996,2.828525,2826.9305619508536,2677.2044030406387,2542.048609496119,0.06221071526134866,0.05513844439491429,0.0,1.0461900366364814
71,2.7117825,2.818494,3018.8199380046544,2681.2013571966977,3094.5166891107683,0.06426195117932305,0.06708023439930574,0.0,1.0060201112344056
72,2.7080092199999997,2.829694,2110.2334357253594,1686.4432942445299,1392.167353129163,0.062816632810051,0.0628506996017861,0.0,0.8009586347324702
73,2.70946914,2.829127,2398.06398850344,1223.1602458245834,1457.4580030289997,0.06340564884844449,0.06164724516975168,0.0,0.5969638459405348
