sample_idx,omega,dG_spacer,coop_factor,Kd_strong_eff,Kd_weak_eff,Kd_sym_eff,cv_asym,cv_sym,delta_cv
13,0.7502190258127385,-0.3570210960231721,1.3393947707687122,2.095927045699372,42.79184384969551,9.470405633335943,0.18934021494902778,0.15479386420759364,0.03454635074143414
14,0.13480125404555865,-1.35802130834598,1.2222991563895607,2.181756384046416,44.54419284094766,9.858223831042398,0.19569374325391686,0.15909204543002523,0.03660169782389164
15,0.22642669771722987,-0.8229587846849736,0.861313355562349,2.5932211688700955,52.944932197764444,11.717419466744147,0.18783643945187226,0.1506858616604187,0.03715057779145356
16,3.968491999754286,0.8068382095422835,1.0709221430010891,2.3205296368578114,47.37748008584699,10.485268077586225,0.1882712661217765,0.15719911802422723,0.031072148097549268
17,1.4061663976415637,0.3380848798827854,0.812208103498034,2.6774538629100304,54.664683034413116,12.098023258170809,0.1879001128704096,0.15826592167929587,0.02963419119111374
18,0.054228391004106355,-1.7550207617022409,0.9367374388686445,2.4810419976907445,50.6546074528527,11.210540061347007,0.1856875827501125,0.15695131991017183,0.028736262839940657
19,5.760823418881975,1.372564224321525,0.6205080024423063,3.133899313589551,63.98377765245335,14.160463158593721,0.1806492539694604,0.1545944620430661,0.026054791926394316
20,1.5704141861636896,0.4217076668609146,0.7919283860312764,2.715288530082576,55.43714082251927,12.268978466684143,0.1892900482811803,0.15714120591125763,0.03214884236992266
21,3.7730839820017397,0.5383443212875159,1.5744634523104981,1.9621644047939126,40.06085659787572,8.866001739335783,0.18915328396039785,0.15844750332445706,0.030705780635940788
22,1.361620570731023,0.15318547167579943,1.0618214273850264,2.3301335319209646,47.573559610053024,10.528663090830925,0.18410448806125634,0.15587181060960512,0.028232677451651228
23,0.42431283637632794,-0.6549534652870628,1.2287576942179996,2.176596122772357,44.43883750660229,9.834907290736469,0.19188709481151292,0.15936922371858375,0.03251787109292917
24,3.8273455048908924,0.8220212135343352,1.0076858543583425,2.3908473209283225,48.81313280228659,10.802997166826682,0.1879621348198345,0.1596006155026126,0.028361519317221917
25,0.5142713938526905,-0.3795181870276775,0.952301883517621,2.460104616791715,50.22713592616418,11.115934912556007,0.1785451761598637,0.15517922812366433,0.023365948036199374
