parameter,base_value,test_value,fold_change,n_cells,mean,CV,n_modes
block_strong,0.85,0.6761111111111111,0.7954248366013073,1000,386.728,0.1395531447885449,1
block_strong,0.85,0.7388888888888888,0.8692810457516339,1000,320.598,0.14258057708980812,1
block_strong,0.85,0.8016666666666665,0.9431372549019607,1000,249.465,0.17051703882747862,1
block_strong,0.85,0.8644444444444443,1.0169934640522875,1000,183.151,0.19089175432404384,1
block_strong,0.85,0.9272222222222222,1.0908496732026143,1000,115.838,0.23526480649363607,2
block_strong,0.85,0.99,1.1647058823529413,1000,56.685,0.28535583424274996,2
block_weak,0.5,0.25,0.5,1000,267.287,0.1632257113051196,1
block_weak,0.5,0.3055555555555556,0.6111111111111112,1000,251.48,0.17005334134289057,1
block_weak,0.5,0.3611111111111111,0.7222222222222222,1000,235.439,0.18253800965446512,1
block_weak,0.5,0.41666666666666663,0.8333333333333333,1000,221.028,0.18424678637041028,1
block_weak,0.5,0.4722222222222222,0.9444444444444444,1000,205.322,0.19449771723295586,2
block_weak,0.5,0.5277777777777778,1.0555555555555556,1000,190.268,0.18818635179742052,2
block_weak,0.5,0.5833333333333333,1.1666666666666665,1000,176.056,0.19966385844506834,1
block_weak,0.5,0.6388888888888888,1.2777777777777777,1000,162.877,0.19587349053975686,2
block_weak,0.5,0.6944444444444444,1.3888888888888888,1000,148.517,0.2087275645341544,2
block_weak,0.5,0.75,1.5,1000,137.85,0.196853973945566,2
k_on,0.0167,0.00835,0.5,1000,196.518,0.18958689750913904,2
k_on,0.0167,0.010205555555555555,0.611111111111111,1000,199.044,0.17921756997941674,1
k_on,0.0167,0.012061111111111111,0.7222222222222222,1000,196.863,0.19131532665418466,1
k_on,0.0167,0.013916666666666667,0.8333333333333334,1000,198.83,0.18312891169893566,2
k_on,0.0167,0.015772222222222222,0.9444444444444444,1000,197.357,0.18531938794442332,1
k_on,0.0167,0.017627777777777777,1.0555555555555556,1000,199.347,0.18538857116046611,1
k_on,0.0167,0.01948333333333333,1.1666666666666665,1000,196.802,0.1899317641849797,1
