generation,mean_fitness,best_fitness,mean_Kd_ratio,std_Kd_ratio,best_Kd_ratio,mean_cv,best_cv,mean_persister,diversity
43,3.9031944000000003,4.0422,5075.9015171267865,3389.293710771885,10000.0,0.06324367858914376,0.0666083611677086,0.0,1.0400171249373416
44,3.8787125999999996,4.0701,5034.073583565181,3331.862725614461,8739.60167902676,0.06329323772318692,0.062332075009587484,0.0,1.1030580988976986
45,3.9024099999999997,4.04529,6026.9912114638455,3155.576368633474,525.5243295285776,0.06270824248820561,0.06540456712845018,0.0,0.8863005506795707
46,3.9063544,4.03721,4866.004438635007,3057.593961503613,10000.0,0.06294508885350764,0.06592004580520479,0.0,1.0913258065706763
47,3.9294896,4.0491399999999995,5150.91013870812,3214.011504140253,8409.69077747929,0.0627304587293046,0.0666186719612211,0.0,1.0553238813470145
48,3.9043111999999995,4.04299,6104.7736048491815,2796.087638380184,4579.511910983951,0.06369354789349041,0.0611831276571559,0.0,0.8793924686820036
49,3.8971766000000003,4.03803,5689.542618920686,2246.2574742642055,7047.363834631176,0.06425194230470481,0.06413912246036056,0.0,0.5783762841908727
50,3.8789666,4.05501,6274.740774663913,2231.4365255257894,5408.885057999522,0.06296209528628767,0.0658825427262704,0.0,0.5403413038445667
51,3.8801928000000006,4.04871,5492.771980436463,2227.0222867168327,5408.885057999522,0.06154693208668009,0.06304550954780883,0.0,0.6132531633791494
52,3.8829369999999996,4.04411,4866.695948827409,2001.995519974486,6847.433794740827,0.0627808474325885,0.061854942882997005,0.0,0.6867091072352236
53,3.8665984000000004,4.06026,5088.337966067505,2069.0024624292855,2605.0301526395046,0.06258671181795025,0.06155608869444352,0.0,0.5641033716083302
54,3.9052538000000006,4.05317,4795.618819026583,2089.573152377324,8330.662571031524,0.06332813232617122,0.06438017777494155,0.0,0.6147057469557027
55,3.9072654,4.06569,5040.566908281956,2472.611694950167,8330.662571031524,0.06290078815830867,0.06357831188333025,0.0,0.6609998976745752
56,3.8880659999999994,4.0394,4416.4792516108355,2981.9107781992143,8330.662571031524,0.061851317080998156,0.06266757534897233,0.0,0.7887124774371728
57,3.8985559999999997,4.05702,4458.20381325124,2739.7668133387187,680.4669327560198,0.06303095969766509,0.06304212430044155,0.0,0.8227535938348973
58,3.8500972,4.04478,3704.551082397455,2682.479305974553,2963.368824363957,0.06488311500691663,0.06120791736377853,0.0,0.8895736511416756
59,3.8531121999999995,4.0513699999999995,3383.4249265618373,2420.0816512816373,5814.08888985453,0.06412715061617667,0.06509348710777946,0.0,0.9579702522999061
60,3.8618509999999997,4.0316399999999994,3341.230929500062,2505.1522742269153,1107.7637284620898,0.06334214554134153,0.05732649215153955,0.0,1.0682845564818875
61,3.8495804000000002,4.0473099999999995,3464.113173470585,2789.9598896733746,3611.9804514183693,0.06349220366828778,0.06606211848572108,0.0,0.9235735266162236
62,3.8374338,4.04537,3969.2959800138983,2765.7594695153166,4114.4691209194525,0.06333949008827953,0.06560914587058288,0.0,0.8107520583342901
63,3.905327,4.03115,3358.263249815277,2565.007705364262,4114.4691209194525,0.0633018972132802,0.059429525564032054,0.0,1.007720250431549
64,3.902733799999999,4.07583,3783.22313736079,2871.1328216858783,3893.8627508695645,0.06311750652700483,0.06053540748471561,0.0,1.0031265182312112
65,3.8757599999999996,4.03132,4368.175592197555,2787.9161028269987,4114.4691209194525,0.06359043512696512,0.06011802138544045,0.0,0.9198104531690015
66,3.8797552,4.04333,4687.43633808179,2978.881496682457,4114.4691209194525,0.06289722327886077,0.06693876244242018,0.0,1.1006663996112398
67,3.8625567999999997,4.04432,3267.641540505763,2083.9173837296753,3680.148068089791,0.06416693339059903,0.06093730604064853,0.0,0.9199523714906926
68,3.8630877999999997,4.05503,2702.6433823773127,2409.5977764789013,7481.4736492553475,0.06283550568680382,0.0625676167184788,0.0,1.1578324913520373
69,3.8671708000000002,4.04148,3616.9024292539953,2671.284366296702,6817.480081428251,0.06317937673885356,0.06359206300803737,0.0,1.0822360090561072
70,3.93049,4.03912,3917.393365952241,2694.6493056663708,5237.849051860988,0.0637041804292507,0.059380524028970524,0.0,1.0467729436098403
71,3.9261794000000005,4.05821,3510.7255286714585,2198.1129165242487,2362.2489519068376,0.06433259940219706,0.06635116634586206,0.0,1.0550857009106867
72,3.8834952,4.05244,3944.49796317403,2532.205440958852,3169.208064809425,0.06226016887412042,0.05861012689853867,0.0,0.8277339099508028
73,3.8519904,4.0394,3324.9348257402094,2139.2649993254363,1582.9845222312408,0.06334078975245606,0.05608396499551203,0.0,0.7655593240603923
74,3.8319468000000008,4.03307,3500.0929599590468,2470.163195340465,5569.8180021943035,0.06409874441130464,0.05957679481977086,0.0,0.8701667087634934
75,3.8673611999999995,4.03979,3683.59469902152,2484.681047893395,10000.0,0.06415849103089553,0.06266516945231212,0.0,0.6879291970288404
76,3.8987444,4.05056,4200.613734243908,2679.736879320632,5569.8180021943035,0.06340988711139434,0.059697739094755696,0.0,0.6771866325440112
77,3.8969412,4.06837,4872.050213483621,2944.475312248805,6096.811496980252,0.0633093833719271,0.06902706512596901,0.0,0.7070058513597111
78,3.8955982000000007,4.05265,5108.90731494799,2951.30299482619,2419.5344189292086,0.06356275341912995,0.06590235782686528,0.0,0.8642520662341638
79,3.9211240000000003,4.0363299999999995,3722.373624132963,2861.01566787389,3342.188447949685,0.06375141105480285,0.0635864420117154,0.0,0.9239925545765413
80,3.9167562,4.06393,3448.3010490047823,2693.499677313564,6510.572249301406,0.06236155511077945,0.06971570830429362,0.0,0.9087142937906519
81,3.889206,4.04683,3890.380131205783,2646.5657912783468,3164.083372627816,0.0636411475902271,0.06360449377906868,0.0,0.7853540403493818
